movieId,clean_title
1193,One Flew Over the Cuckoo's Nest
661,James and the Giant Peach
914,My Fair Lady
3408,Erin Brockovich
2355,"Bug's Life, A"
1197,"Princess Bride, The"
1287,Ben-Hur
2804,"Christmas Story, A"
594,Snow White and the Seven Dwarfs
919,"Wizard of Oz, The"
595,Beauty and the Beast
938,Gigi
2398,Miracle on 34th Street
2918,Ferris Bueller's Day Off
1035,"Sound of Music, The"
2791,Airplane!
2687,Tarzan
2018,Bambi
3105,Awakenings
2797,Big
2321,Pleasantville
720,Wallace & Gromit: The Best of Aardman Animation
1270,Back to the Future
527,Schindler's List
2340,Meet Joe Black
48,Pocahontas
1097,E.T. the Extra-Terrestrial
1721,Titanic
1545,Ponette
745,"Close Shave, A"
2294,Antz
3186,"Girl, Interrupted"
1566,Hercules
588,Aladdin
1907,Mulan
783,"Hunchback of Notre Dame, The"
1836,"Last Days of Disco, The"
1022,Cinderella
2762,"Sixth Sense, The"
150,Apollo 13
1,Toy Story
1961,Rain Man
1962,Driving Miss Daisy
2692,Run Lola Run (Lola rennt)
260,Star Wars: Episode IV - A New Hope
1028,Mary Poppins
1029,Dumbo
1207,To Kill a Mockingbird
2028,Saving Private Ryan
531,"Secret Garden, The"
3114,Toy Story 2
608,Fargo
1246,Dead Poets Society
1357,Shine
3068,"Verdict, The"
1537,Shall We Dance? (Shall We Dansu?)
647,Courage Under Fire
2194,"Untouchables, The"
648,Mission: Impossible
2268,"Few Good Men, A"
2628,Star Wars: Episode I - The Phantom Menace
1103,Rebel Without a Cause
2916,Total Recall
3468,"Hustler, The"
1210,Star Wars: Episode VI - Return of the Jedi
1792,U.S. Marshalls
1687,"Jackal, The"
1213,GoodFellas
3578,Gladiator
2881,Double Jeopardy
3030,Yojimbo
1217,Ran
434,Cliffhanger
2126,Snake Eyes
3107,Backdraft
3108,"Fisher King, The"
3035,Mister Roberts
1253,"Day the Earth Stood Still, The"
1610,"Hunt for Red October, The"
292,Outbreak
2236,Simon Birch
3071,Stand and Deliver
902,Breakfast at Tiffany's
368,Maverick
1259,Stand by Me
3147,"Green Mile, The"
1544,"Lost World: Jurassic Park, The"
1293,Gandhi
1188,Strictly Ballroom
3255,"League of Their Own, A"
3256,Patriot Games
3257,"Bodyguard, The"
110,Braveheart
2278,Ronin
2490,Payback
1834,"Spanish Prisoner, The"
3471,Close Encounters of the Third Kind
589,Terminator 2: Judgment Day
1690,Alien: Resurrection
3654,"Guns of Navarone, The"
2852,"Soldier's Story, A"
1945,On the Waterfront
982,Picnic
1873,"Misérables, Les"
2858,American Beauty
1225,Amadeus
515,"Remains of the Day, The"
442,Demolition Man
2312,Children of a Lesser God
265,Like Water for Chocolate (Como agua para chocolate)
1408,"Last of the Mohicans, The"
1084,Bonnie and Clyde
3699,Starman
480,Jurassic Park
1442,Prefontaine
2067,Doctor Zhivago
1265,Groundhog Day
1370,Die Hard 2
1801,"Man in the Iron Mask, The"
1372,Star Trek VI: The Undiscovered Country
2353,Enemy of the State
3334,Key Largo
2427,"Thin Red Line, The"
590,Dances with Wolves
1196,Star Wars: Episode V - The Empire Strikes Back
1552,Con Air
736,Twister
1198,Raiders of the Lost Ark
593,"Silence of the Lambs, The"
2359,Waking Ned Devine
95,Broken Arrow
2717,Ghostbusters II
2571,"Matrix, The"
1917,Armageddon
2396,Shakespeare in Love
3735,Serpico
1953,"French Connection, The"
1597,Conspiracy Theory
3809,What About Bob?
1954,Rocky
1955,Kramer Vs. Kramer
235,Ed Wood
1124,On Golden Pond
1957,Chariots of Fire
163,Desperado
21,Get Shorty
165,Die Hard: With a Vengeance
1090,Platoon
380,True Lies
2501,October Sky
349,Clear and Present Danger
457,"Fugitive, The"
1096,Sophie's Choice
920,Gone with the Wind
459,"Getaway, The"
1527,"Fifth Element, The"
3418,Thelma & Louise
1385,Under Siege
3451,Guess Who's Coming to Dinner
3095,"Grapes of Wrath, The"
780,Independence Day (ID4)
498,Mr. Jones
2728,Spartacus
2002,Lethal Weapon 3
1784,As Good As It Gets
2943,Indochine
2006,"Mask of Zorro, The"
318,"Shawshank Redemption, The"
1968,"Breakfast Club, The"
3678,"Man with the Golden Arm, The"
1244,Manhattan
356,Forrest Gump
1245,Miller's Crossing
3893,Nurse Betty
1247,"Graduate, The"
3421,Animal House
1641,"Full Monty, The"
1394,Raising Arizona
3534,28 Days
104,Happy Gilmore
2735,"Golden Child, The"
1431,Beverly Hills Ninja
3868,"Naked Gun: From the Files of Police Squad!, The"
1079,"Fish Called Wanda, A"
2997,Being John Malkovich
1615,"Edge, The"
1291,Indiana Jones and the Last Crusade
653,Dragonheart
2167,Blade
1580,Men in Black
3619,"Hollywood Knights, The"
1049,"Ghost and the Darkness, The"
1261,Evil Dead II (Dead By Dawn)
552,"Three Musketeers, The"
1266,Unforgiven
733,"Rock, The"
1378,Young Guns
1379,Young Guns II
3552,Caddyshack
1304,Butch Cassidy and the Sundance Kid
2470,Crocodile Dundee
3168,Easy Rider
2617,"Mummy, The"
3671,Blazing Saddles
2871,Deliverance
2115,Indiana Jones and the Temple of Doom
1136,Monty Python and the Holy Grail
2081,"Little Mermaid, The"
2951,"Fistful of Dollars, A"
1214,Alien
1036,Die Hard
3702,Mad Max
2366,King Kong
1387,Jaws
3527,Predator
1201,"Good, The Bad and The Ugly, The"
2947,Goldfinger
1240,"Terminator, The"
2987,Who Framed Roger Rabbit?
2333,Gods and Monsters
1175,Delicatessen
39,Clueless
288,Natural Born Killers
2337,Velvet Goldmine
1535,Love! Valour! Compassion!
1392,Citizen Ruth
1466,Donnie Brasco
860,"Maybe, Maybe Not (Bewegte Mann, Der)"
1683,"Wings of the Dove, The"
866,Bound
1684,Mrs. Dalloway
2770,Bowfinger
215,Before Sunrise
1759,Four Days in September
501,Naked
506,Orlando
1250,"Bridge on the River Kwai, The"
3793,X-Men
509,"Piano, The"
41,Richard III
2058,"Negotiator, The"
3799,Pokémon the Movie 2000
47,Seven (Se7en)
2700,"South Park: Bigger, Longer and Uncut"
296,Pulp Fiction
581,"Celluloid Closet, The"
1617,L.A. Confidential
728,Cold Comfort Farm
299,Priest
3079,Mansfield Park
2560,Ravenous
1909,"X-Files: Fight the Future, The"
224,Don Juan DeMarco
3728,One False Move
229,Death and the Maiden
6,Heat
3006,"Insider, The"
1046,Beautiful Thing
800,Lone Star
50,"Usual Suspects, The"
52,Mighty Aphrodite
1191,Madonna: Truth or Dare
1192,Paris Is Burning
3081,Sleepy Hollow
377,Speed
1268,Pump Up the Volume
3083,All About My Mother (Todo Sobre Mi Madre)
3513,Rules of Engagement
2428,"Faculty, The"
2282,Pecker
3514,Joe Gould's Secret
1554,"Pillow Book, The"
1912,Out of Sight
2716,Ghostbusters
1485,Liar Liar
2289,"Player, The"
162,Crumb
1127,"Abyss, The"
3016,Creepshow
2070,Tender Mercies
1704,Good Will Hunting
3163,Topsy-Turvy
2437,Wilde
2291,Edward Scissorhands
1635,"Ice Storm, The"
1279,Night on Earth
2721,Trick
2723,Mystery Men
1921,Pi
2725,Twin Falls Idaho
1923,There's Something About Mary
2580,Go
3386,JFK
3744,Shaft
968,Night of the Living Dead
896,Wild Reeds
3020,Falling Down
1788,Men With Guns
176,Living in Oblivion
461,Go Fish
1429,Jackie Chan's First Strike
2159,Henry: Portrait of a Serial Killer
1715,Office Killer
1643,"Mrs. Brown (Her Majesty, Mrs. Brown)"
3249,"Hand That Rocks the Cradle, The"
3176,"Talented Mr. Ripley, The"
1719,"Sweet Hereafter, The"
2806,Teaching Mrs. Tingle
2734,"Mosquito Coast, The"
1649,"Fast, Cheap & Out of Control"
321,Strawberry and Chocolate (Fresa y chocolate)
2013,"Poseidon Adventure, The"
3100,"River Runs Through It, A"
2952,"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight)"
1794,Love and Death on Long Island
2599,Election
1500,Grosse Pointe Blank
2959,Fight Club
1509,All Over Me
1722,Tomorrow Never Dies
1650,Washington Square
908,North by Northwest
1653,Gattaca
2384,Babe: Pig in the City
1729,Jackie Brown
3476,Jacob's Ladder
2890,Three Kings
3113,End of Days
16,Casino
2029,Billy's Hollywood Screen Kiss
194,Smoke
551,"Nightmare Before Christmas, The"
1513,Romy and Michele's High School Reunion
3046,"Incredibly True Adventure of Two Girls in Love, The"
2318,Happiness
1517,Austin Powers: International Man of Mystery
1089,Reservoir Dogs
3260,Howards End
913,"Maltese Falcon, The"
1730,Kundun
3409,Final Destination
2607,Get Real
1449,Waiting for Guffman
1732,"Big Lebowski, The"
1733,Afterglow
2390,Little Voice
1734,My Life in Pink (Ma vie en rose)
3266,Man Bites Dog (C'est arrivé près de chez vous)
3267,"Mariachi, El"
3624,Shanghai Noon
2395,Rushmore
1594,In the Company of Men
2683,Austin Powers: The Spy Who Shagged Me
412,"Age of Innocence, The"
2759,Dick
994,Big Night
1884,Fear and Loathing in Las Vegas
1885,"Opposite of Sex, The"
272,"Madness of King George, The"
24,Powder
3051,Anywhere But Here
348,Bullets Over Broadway
2323,"Cruise, The"
1093,"Doors, The"
29,"City of Lost Children, The"
562,Welcome to the Dollhouse
1095,Glengarry Glen Ross
1529,Nowhere
2188,54
497,Much Ado About Nothing
202,Total Eclipse
1747,Wag the Dog
2908,Boys Don't Cry
1966,Metropolitan
3499,Misery
353,"Crow, The"
32,Twelve Monkeys
1243,Rosencrantz and Guildenstern Are Dead
1897,High Art
1171,Bob Roberts
3786,But I'm a Cheerleader
34,Babe
357,Four Weddings and a Funeral
36,Dead Man Walking
714,Dead Man
2406,Romancing the Stone
1101,Top Gun
3717,Gone in 60 Seconds
1030,Pete's Dragon
1688,Anastasia
364,"Lion King, The"
3501,Murphy's Romance
3072,Moonstruck
3074,Jeremiah Johnson
3508,"Outlaw Josey Wales, The"
1043,To Gillian on Her 37th Birthday
597,Pretty Woman
383,Wyatt Earp
2506,"Other Sister, The"
3524,Arthur
1569,My Best Friend's Wedding
2082,"Mighty Ducks, The"
3600,Blue Hawaii
3604,Gypsy
2802,Tequila Sunrise
3536,Keeping the Faith
3753,"Patriot, The"
3682,Magnum Force
2017,Babes in Toyland
3685,Prizzi's Honor
3610,Roustabout
1296,"Room with a View, A"
838,Emma
1007,"Apple Dumpling Gang, The"
1947,West Side Story
2966,"Straight Story, The"
266,Legends of the Fall
17,Sense and Sensibility
1441,Benny & Joon
1088,Dirty Dancing
912,Casablanca
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)"
1806,Paulie
2469,Peggy Sue Got Married
2100,Splash
1959,Out of Africa
1380,Grease
569,Little Big League
1674,Witness
3565,Where the Heart Is
861,Supercop
1997,"Exorcist, The"
1573,Face/Off
474,In the Line of Fire
1221,"Godfather: Part II, The"
2336,Elizabeth
3425,Mo' Better Blues
1393,Jerry Maguire
1682,"Truman Show, The"
508,Philadelphia
3213,Batman: Mask of the Phantasm
42,Dead Presidents
650,Moll Flanders
3500,Mr. Saturday Night
3148,"Cider House Rules, The"
2702,Summer of Sam
1476,Private Parts
1693,Amistad
151,Rob Roy
510,Poetic Justice
4,Waiting to Exhale
1621,Soul Food
3155,Anna and the King
58,"Postino, Il (The Postman)"
2712,Eyes Wide Shut
2429,Mighty Joe Young
1840,He Got Game
1916,Buffalo 66
1488,"Devil's Own, The"
230,Dolores Claiborne
1120,"People vs. Larry Flynt, The"
161,Crimson Tide
1411,Hamlet
524,Rudy
1059,William Shakespeare's Romeo and Juliet
454,"Firm, The"
1701,Deconstructing Harry
1274,Akira
741,Ghost in the Shell (Kokaku kidotai)
1277,Cyrano de Bergerac
1639,Chasing Amy
3528,"Prince of Tides, The"
2297,What Dreams May Come
465,Heaven & Earth
1711,Midnight in the Garden of Good and Evil
538,Six Degrees of Separation
393,Street Fighter
2442,Hilary and Jackie
73,"Misérables, Les"
3246,Malcolm X
3173,Any Given Sunday
105,"Bridges of Madison County, The"
253,Interview with the Vampire
3250,Alive
3252,Scent of a Woman
476,"Inkwell, The"
111,Taxi Driver
3259,Far and Away
1589,Cop Land
2023,"Godfather: Part III, The"
14,Nixon
337,What's Eating Gilbert Grape
2314,Beloved
2600,eXistenZ
269,My Crazy Life (Mi vida loca)
555,True Romance
1660,Eve's Bayou
3265,Hard-Boiled (Lashou shentan)
1735,Great Expectations
3481,High Fidelity
2686,"Red Violin, The (Le Violon rouge)"
2688,"General's Daughter, The"
345,"Adventures of Priscilla, Queen of the Desert, The"
2320,Apt Pupil
25,Leaving Las Vegas
2324,Life Is Beautiful (La Vita è bella)
2329,American History X
1810,Primary Colors
2541,Cruel Intentions
1673,Boogie Nights
1678,"Joy Luck Club, The"
1027,Robin Hood: Prince of Thieves
2699,Arachnophobia
282,Nell
367,"Mask, The"
223,Clerks
3298,Boiler Room
3948,Meet the Parents
805,"Time to Kill, A"
3510,Frequency
300,Quiz Show
1777,"Wedding Singer, The"
3301,"Whole Nine Yards, The"
1343,Cape Fear
3160,Magnolia
529,Searching for Bobby Fischer
3452,Romeo Must Die
1060,Swingers
1356,Star Trek: First Contact
1358,Sling Blade
3178,"Hurricane, The"
3751,Chicken Run
3826,Hollow Man
3755,"Perfect Storm, The"
2302,My Cousin Vinny
1148,"Wrong Trousers, The"
2166,Return to Paradise
3253,Wayne's World
1584,Contact
1223,"Grand Day Out, A"
1446,Kolya
3623,Mission: Impossible 2
778,Trainspotting
1669,"Tango Lesson, The"
3484,"Skulls, The"
3916,Remember the Titans
1233,"Boat, The (Das Boot)"
1307,When Harry Met Sally...
3270,"Cutting Edge, The"
1310,Hype!
428,"Bronx Tale, A"
2622,"Midsummer Night's Dream, A"
3358,Defending Your Life
3359,Breaking Away
1756,"Prophecy II, The"
1320,Alien³
2124,"Addams Family, The"
2125,Ever After: A Cinderella Story
2054,"Honey, I Shrunk the Kids"
1252,Chinatown
1254,"Treasure of the Sierra Madre, The"
3869,"Naked Gun 2 1/2: The Smell of Fear, The"
1256,Duck Soup
1257,Better Off Dead...
1831,Lost in Space
3363,American Graffiti
586,Home Alone
587,Ghost
3438,Teenage Mutant Ninja Turtles
3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
3296,To Sir with Love
2496,Blast from the Past
2497,Message in a Bottle
2,Jumanji
2498,My Favorite Martian
153,Batman Forever
7,Sabrina
2133,Adventures in Babysitting
2135,Doctor Dolittle
2136,"Nutty Professor, The"
2137,Charlotte's Web
802,Phenomenon
2138,Watership Down
1409,Michael
1339,Bram Stoker's Dracula
1269,Arsenic and Old Lace
2640,Superman
592,Batman
596,Pinocchio
3447,"Good Earth, The"
1918,Lethal Weapon 4
2140,"Dark Crystal, The"
2072,"'burbs, The"
1271,Fried Green Tomatoes
1345,Carrie
2077,"Journey of Natty Gann, The"
2078,"Jungle Book, The"
1276,Cool Hand Luke
743,Spy Hard
671,Mystery Science Theater 3000: The Movie
1278,Young Frankenstein
3525,Bachelor Party
1927,All Quiet on the Western Front
2657,"Rocky Horror Picture Show, The"
3388,Harry and the Hendersons
316,Stargate
317,"Santa Clause, The"
248,Houseguest
2080,Lady and the Tramp
1282,Fantasia
1283,High Noon
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
2087,Peter Pan
1286,Somewhere in Time
3608,Pee-wee's Big Adventure
2662,"War of the Worlds, The"
3466,Heart and Souls
2300,"Producers, The"
180,Mallrats
329,Star Trek: Generations
3034,Robin Hood
186,Nine Months
2161,"NeverEnding Story, The"
3037,Little Big Man
2090,"Rescuers, The"
3039,Trading Places
2091,Return from Witch Mountain
830,"First Wives Club, The"
2093,Return to Oz
904,Rear Window
2094,"Rocketeer, The"
1292,Being There
2096,Sleeping Beauty
1294,M*A*S*H
765,Jack
2746,Little Shop of Horrors
1009,Escape to Witch Mountain
1948,Tom Jones
333,Tommy Boy
339,While You Were Sleeping
2316,Practical Magic
1371,Star Trek: The Motion Picture
2174,Beetlejuice
1374,Star Trek: The Wrath of Khan
1375,Star Trek III: The Search for Spock
915,Sabrina
1376,Star Trek IV: The Voyage Home
1377,Batman Returns
916,Roman Holiday
918,Meet Me in St. Louis
1012,Old Yeller
2826,"13th Warrior, The"
3629,"Gold Rush, The"
1015,Homeward Bound: The Incredible Journey
1016,"Shaggy Dog, The"
1019,"20,000 Leagues Under the Sea"
3489,Hook
344,Ace Ventura: Pet Detective
275,Mixed Nuts
2252,Hero
277,Miracle on 34th Street
923,Citizen Kane
924,2001: A Space Odyssey
3701,Alien Nation
3703,Mad Max 2 (a.k.a. The Road Warrior)
926,All About Eve
3704,Mad Max Beyond Thunderdome
1020,Cool Runnings
784,"Cable Guy, The"
858,"Godfather, The"
1023,Winnie the Pooh and the Blustery Day
1025,"Sword in the Stone, The"
2693,Trekkies
1967,Labyrinth
351,"Corrina, Corrina"
2405,"Jewel of the Nile, The"
2407,Cocoon
3066,Tora! Tora! Tora!
2193,Willow
932,"Affair to Remember, An"
1031,Bedknobs and Broomsticks
1104,"Streetcar Named Desire, A"
1032,Alice in Wonderland
435,Coneheads
943,"Ghost and Mrs. Muir, The"
3723,Hamlet
1042,That Thing You Do!
370,Naked Gun 33 1/3: The Final Insult
2423,Christmas Vacation
3153,"7th Voyage of Sinbad, The"
2424,You've Got Mail
3086,March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland)
3087,Scrooged
953,It's a Wonderful Life
954,Mr. Smith Goes to Washington
3591,Mr. Mom
2863,"Hard Day's Night, A"
3593,Battlefield Earth
1125,"Return of the Pink Panther, The"
520,Robin Hood: Men in Tights
3668,Romeo and Juliet
2795,Vacation
1129,Escape from New York
2431,Patch Adams
62,Mr. Holland's Opus
3309,"Dog's Life, A"
1633,Ulee's Gold
2436,Tea with Mussolini
3097,"Shop Around the Corner, The"
3099,Shampoo
3812,Everything You Always Wanted to Know About Sex
2000,Lethal Weapon
963,"Inspector General, The"
2001,Lethal Weapon 2
1200,Aliens
2003,Gremlins
1203,12 Angry Men
2005,"Goonies, The"
1204,Lawrence of Arabia
969,"African Queen, The"
2872,Excalibur
3675,White Christmas
2946,Help!
898,"Philadelphia Story, The"
2009,Soylent Green
2874,"Pajama Game, The"
899,Singin' in the Rain
1135,Private Benjamin
2948,From Russia with Love
539,Sleepless in Seattle
2371,Fletch
3247,Sister Act
3174,Man on the Moon
3175,Galaxy Quest
2375,"Money Pit, The"
2378,Police Academy
971,Cat on a Hot Tin Roof
2011,Back to the Future Part II
2012,Back to the Future Part III
2015,"Absent Minded Professor, The"
1215,Army of Darkness
1073,Willy Wonka and the Chocolate Factory
3688,Porky's
541,Blade Runner
542,Son in Law
543,So I Married an Axe Murderer
3254,Wayne's World 2
2453,"Boy Who Could Fly, The"
2529,Planet of the Apes
1654,FairyTale: A True Story
1583,"Simple Wish, A"
3189,My Dog Skip
116,Anne Frank Remembered
1586,G.I. Jane
2021,Dune
1220,"Blues Brothers, The"
1080,Monty Python's Life of Brian
2967,"Bad Seed, The"
2968,Time Bandits
2530,Beneath the Planet of the Apes
3264,Buffy the Vampire Slayer
3194,"Way We Were, The"
2393,Star Trek: Insurrection
3198,Papillon
2399,Santa Claus: The Movie
1302,Field of Dreams
1230,Annie Hall
2105,Tron
2033,"Black Cauldron, The"
2108,L.A. Story
1234,"Sting, The"
2109,"Jerk, The"
1091,Weekend at Bernie's
3347,Never Cry Wolf
203,"To Wong Foo, Thanks for Everything! Julie Newmar"
1676,Starship Troopers
208,Waterworld
2111,"Man with Two Brains, The"
2040,"Computer Wore Tennis Shoes, The"
2041,Condorman
3928,Abbott and Costello Meet Frankenstein
2043,Darby O'Gill and the Little People
2045,"Far Off Place, A"
2046,Flight of the Navigator
2047,"Gnome-Mobile, The"
2049,"Happiest Millionaire, The"
1753,Half Baked
216,Billy Madison
2706,American Pie
2639,Mommie Dearest
2710,"Blair Witch Project, The"
663,Kids in the Hall: Brain Candy
3448,"Good Morning, Vietnam"
231,Dumb & Dumber
2076,Blue Velvet
246,Hoop Dreams
249,Immortal Beloved
1288,This Is Spinal Tap
3396,"Muppet Movie, The"
3101,Fatal Attraction
2598,Pushing Tin
2306,Holy Man
764,Heavy
342,Muriel's Wedding
1887,Almost Heroes
2325,Orgazmo
3129,Sweet and Lowdown
2907,Superstar
788,"Nutty Professor, The"
2766,"Adventures of Sebastian Cole, The"
2335,"Waterboy, The"
1461,Vegas Vacation
3146,Deuce Bigalow: Male Gigolo
1546,Schizopolis
440,Dave
441,Dazed and Confused
2507,Breakfast of Champions
1563,Dream With the Fishes
1498,Inventing the Abbotts
2883,Mumford
3182,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr.
85,Angels and Insects
88,Black Sheep
986,Fly Away Home
481,Kalifornia
2539,Analyze This
1665,Bean
2106,Swing Kids
708,"Truth About Cats & Dogs, The"
3362,Dog Day Afternoon
813,Larger Than Life
3897,Almost Famous
934,Father of the Bride
3658,Quatermass and the Pit
1303,"Man Who Would Be King, The"
999,2 Days in the Valley
2616,Dick Tracy
3785,Scary Movie
1331,Audrey Rose
1262,"Great Escape, The"
2641,Superman II
3036,Quest for Fire
3479,Ladyhawke
10,GoldenEye
2822,Medicine Man
3494,True Grit
421,Black Beauty
3070,"Adventures of Buckaroo Bonzai Across the 8th Dimension, The"
2414,Young Sherlock Holmes
1479,"Saint, The"
517,Rising Sun
952,Around the World in 80 Days
60,"Indian in the Cupboard, The"
3745,Titan A.E.
2370,"Emerald Forest, The"
1216,"Big Blue, The (Le Grand Bleu)"
2528,Logan's Run
1587,Conan the Barbarian
3269,Forever Young
3417,"Crimson Pirate, The"
3354,Mission to Mars
1263,"Deer Hunter, The"
2572,10 Things I Hate About You
2731,"400 Blows, The (Les Quatre cents coups)"
3033,Spaceballs
2243,Broadcast News
2694,Big Daddy
2920,Children of Paradise (Les enfants du paradis)
1982,Halloween
2976,Bringing Out the Dead
2485,She's All That
141,"Birdcage, The"
3798,What Lies Beneath
2707,Arlington Road
2567,EDtv
3004,"Bachelor, The"
3005,"Bone Collector, The"
2719,"Haunting, The"
160,Congo
748,"Arrival, The"
2724,Runaway Bride
2581,Never Been Kissed
1783,Palmetto
1422,Murder at 1600
3461,Lord of the Flies
3535,American Psycho
257,Just Cause
832,Ransom
762,Striptease
2676,Instinct
1883,Bulworth
2763,"Thomas Crown Affair, The"
3566,"Big Kahuna, The"
2764,"Thomas Crown Affair, The"
1892,"Perfect Murder, A"
1608,Air Force One
1396,Sneakers
2840,Stigmata
2841,Stir of Echoes
3646,Big Momma's House
500,Mrs. Doubtfire
3145,"Cradle Will Rock, The"
2272,One True Thing
2273,Rush Hour
1619,Seven Years in Tibet
1625,"Game, The"
1487,Selena
1702,Flubber
2433,"Civil Action, A"
70,From Dusk Till Dawn
1644,I Know What You Did Last Summer
1645,"Devil's Advocate, The"
2882,Jakob the Liar
2387,Very Bad Things
2389,Psycho
2961,"Story of Us, The"
553,Tombstone
628,Primal Fear
3261,Singles
2605,Entrapment
1804,"Newton Boys, The"
1805,Wild Things
2391,"Simple Plan, A"
2394,"Prince of Egypt, The"
3773,House Party
1092,Basic Instinct
1672,"Rainmaker, The"
2555,Baby Geniuses
2629,"Love Letter, The"
2701,Wild Wild West
2568,"Mod Squad, The"
2713,Lake Placid
1911,Doctor Dolittle
3516,"Bell, Book and Candle"
2643,Superman IV: The Quest for Peace
2720,Inspector Gadget
2722,Deep Blue Sea
2805,Mickey Blue Eyes
2828,Dudley Do-Right
2761,"Iron Giant, The"
2856,I Saw What You Did
2369,Desperately Seeking Susan
2888,Drive Me Crazy
2392,Jack Frost
2975,"Best Man, The"
1179,"Grifters, The"
2553,Village of the Damned
2554,Children of the Damned
3932,"Invisible Man, The"
3863,"Cell, The"
1185,My Left Foot
3503,Solaris (Solyaris)
3879,"Art of War, The"
3375,Destination Moon
1779,Sphere
164,Devil in a Blue Dress
3457,Waking the Dead
319,Shallow Grave
